São Paulo,São Paulo,11895893
Rio de Janeiro,Rio de Janeiro,6453682
Salvador,Bahia Bahia,2902927
Brasília,Distrito Federal,2852372
Fortaleza,Ceará,2571896
Belo Horizonte,Minas Gerais,2491109
Manaus,Amazonas,2020301
Curitiba,Paraná,1864416
Recife,Pernambuco,1608488
Porto Alegre,Rio Grande do Sul,1472482
Belém,Pará Pará,1432844
Goiânia,Goiás,1412364
Guarulhos,São Paulo,1312197
Campinas,São Paulo,1154617
São Luís,Maranhão,1064197
São Gonçalo,Rio de Janeiro,1031903
Maceió,Alagoas,1005319
Duque de Caxias,Rio de Janeiro,873402
Natal,Rio Grande do Norte,862044
Campo Grande,Mato Grosso do Sul,853622
Teresina,Piauí,836475
São Bernardo do Campo,São Paulo,805895
Nova Iguaçu,Rio de Janeiro,804815
João Pessoa,Paraíba,769607
Santo André,São Paulo,704942
Osasco,São Paulo,691652
Jaboatão dos Guararapes,Pernambuco,675599
São José dos Campos,São Paulo,673255
Ribeirão Preto,São Paulo,649556
Uberlândia,Minas Gerais,646673
Contagem,Minas Gerais,637961
Sorocaba,São Paulo,629231
Aracaju,Sergipe,614577
Feira de Santana,Bahia Bahia,606139
Cuiabá,Mato Grosso,569830
Joinville,Santa Catarina,546981
Juiz de Fora,Minas Gerais,545942
Londrina,Paraná,537566
Aparecida de Goiânia,Goiás,500619
Niterói,Rio de Janeiro,494200
Ananindeua,Pará Pará,493976
Porto Velho,Rondônia,484992
Belford Roxo,Rio de Janeiro,477583
Campos dos Goytacazes,Rio de Janeiro,477208
Serra,Espírito Santo,467318
Caxias do Sul,Rio Grande do Sul,465304
São João de Meriti,Rio de Janeiro,460799
Vila Velha,Espírito Santo,458489
Florianópolis,Santa Catarina,453285
Mauá,São Paulo,444136
Macapá,Amapá,437256
São José do Rio Preto,São Paulo,434039
Santos,São Paulo,433153
Mogi das Cruzes,São Paulo,414907
Diadema,São Paulo,406718
Betim,Minas Gerais,406474
Campina Grande,Paraíba,400002
Jundiaí,São Paulo,393920
Olinda,Pernambuco,388127
Carapicuíba,São Paulo,387788
Montes Claros,Minas Gerais,385898
Maringá,Paraná,385753
Piracicaba,São Paulo,385287
Cariacica,Espírito Santo,375974
Bauru,São Paulo,362062
Anápolis,Goiás,357402
Rio Branco,Acre,357194
São Vicente,São Paulo,350465
Vitória,Espírito Santo,348268
Caucaia,Ceará,344936
Itaquaquecetuba,São Paulo,344558
Pelotas,Rio Grande do Sul,341180
Canoas,Rio Grande do Sul,338531
Caruaru,Pernambuco,337416
Vitória da Conquista,Bahia Bahia,336987
Franca,São Paulo,336734
Ponta Grossa,Paraná,331084
Blumenau,Santa Catarina,329082
Petrolina,Pernambuco,319893
Paulista,Pernambuco,316714
Ribeirão das Neves,Minas Gerais,315819
Uberaba,Minas Gerais,315360
Boa Vista,Roraima,308996
Guarujá,São Paulo,306683
Cascavel,Paraná,305615
Petrópolis,Rio de Janeiro,297888
Taubaté,São Paulo,296431
Limeira,São Paulo,291748
Santarém,Pará Pará,288462
Praia Grande,São Paulo,287967
São José dos Pinhais,Paraná,287792
Mossoró,Rio Grande do Norte,280314
Suzano,São Paulo,279520
Camaçari,Bahia Bahia,275575
Governador Valadares,Minas Gerais,275568
Santa Maria,Rio Grande do Sul,273489
Gravataí,Rio Grande do Sul,269022
Taboão da Serra,São Paulo,264352
Foz do Iguaçu,Paraná,263508
Várzea Grande,Mato Grosso,262880
Volta Redonda,Rio de Janeiro,261522
Juazeiro do Norte,Ceará,261289
Sumaré,São Paulo,258556
Palmas,Tocantins,257904
Barueri,São Paulo,256756
Embu,São Paulo,256247
Ipatinga,Minas Gerais,253098
Marabá,Pará Pará,251885
Imperatriz,Maranhão,251468
Viamão,Rio Grande do Sul,250028
Novo Hamburgo,Rio Grande do Sul,247781
São Carlos,São Paulo,236457
Magé,Rio de Janeiro,232419
Parnamirim,Rio Grande do Norte,229414
Marília,São Paulo,228618
Arapiraca,Alagoas,227640
Sete Lagoas,Minas Gerais,227571
Colombo,Paraná,227220
Divinópolis,Minas Gerais,226345
São Leopoldo,Rio Grande do Sul,225520
Itaboraí,Rio de Janeiro,225263
São José,Santa Catarina,224779
Americana,São Paulo,224551
Macaé,Rio de Janeiro,224442
Jacareí,São Paulo,223064
Indaiatuba,São Paulo,222042
Araraquara,São Paulo,222036
Cotia,São Paulo,220941
Presidente Prudente,São Paulo,218960
Itabuna,Bahia Bahia,218124
Maracanaú,Ceará,217922
Itapevi,São Paulo,217005
Juazeiro,Bahia Bahia,214748
Santa Luzia,Minas Gerais,213345
Hortolândia,São Paulo,209139
Rondonópolis,Mato Grosso,208019
Dourados,Mato Grosso do Sul,207498
Rio Grande,Rio Grande do Sul,206161
Cachoeiro de Itapemirim,Espírito Santo,205213
Alvorada,Rio Grande do Sul,204750
Criciúma,Santa Catarina,202395
Cabo Frio,Rio de Janeiro,200380
Chapecó,Santa Catarina,198188
Itajaí,Santa Catarina,197809
Sobral,Ceará,197663
Rio Verde,Goiás,197048
Rio Claro,São Paulo,196821
Cabo de Santo Agostinho,Pernambuco,196152
Passo Fundo,Rio Grande do Sul,194432
Araçatuba,São Paulo,190536
Santa Bárbara d'Oeste,São Paulo,188302
Luziânia,Goiás,188181
Ilhéus,Bahia Bahia,184616
Lauro de Freitas,Bahia Bahia,184383
Nova Friburgo,Rio de Janeiro,184122
Castanhal,Pará Pará,183917
Angra dos Reis,Rio de Janeiro,181486
Ferraz de Vasconcelos,São Paulo,180326
Barra Mansa,Rio de Janeiro,179472
Águas Lindas de Goiás,Goiás,177890
Parauapebas,Pará Pará,176582
Guarapuava,Paraná,175779
Nossa Senhora do Socorro,Sergipe,172547
São José de Ribamar,Maranhão,170423
Mesquita,Rio de Janeiro,170185
Ibirité,Minas Gerais,169908
Teresópolis,Rio de Janeiro,169849
Francisco Morato,São Paulo,164718
Araguaína,Tocantins,164093
Itu,São Paulo,163882
Itapecerica da Serra,São Paulo,163363
Timon,Maranhão,161721
Jequié,Bahia Bahia,161391
Poços de Caldas,Minas Gerais,161025
Caxias,Maranhão,159396
Lages,Santa Catarina,158961
Nilópolis,Rio de Janeiro,158288
Linhares,Espírito Santo,157814
Pindamonhangaba,São Paulo,157062
Bragança Paulista,São Paulo,156995
Jaraguá do Sul,Santa Catarina,156519
São Caetano do Sul,São Paulo,156362
Itapetininga,São Paulo,153810
Teixeira de Freitas,Bahia Bahia,153385
Alagoinhas,Bahia Bahia,152570
Camaragibe,Pernambuco,151587
Barreiras,Bahia Bahia,150896
Palhoça,Santa Catarina,150623
Parnaíba,Piauí,148832
Paranaguá,Paraná,148232
Abaetetuba,Pará Pará,147267
Valparaíso de Goiás,Goiás,146694
Patos de Minas,Minas Gerais,146416
Mogi Guaçu,São Paulo,144963
Franco da Rocha,São Paulo,141824
Queimados,Rio de Janeiro,141753
Porto Seguro,Bahia Bahia,141006
Pouso Alegre,Minas Gerais,140223
Jaú,São Paulo,140077
Teófilo Otoni,Minas Gerais,140067
Maricá,Rio de Janeiro,139552
Sapucaia do Sul,Rio Grande do Sul,137104
Botucatu,São Paulo,136269
Garanhuns,Pernambuco,135138
Atibaia,São Paulo,134567
Vitória de Santo Antão,Pernambuco,133907
Barbacena,Minas Gerais,132980
Santa Rita,Paraíba,132871
Sabará,Minas Gerais,132636
Varginha,Minas Gerais,130139
Simões Filho,Bahia Bahia,129964
Uruguaiana,Rio Grande do Sul,129504
Araucária,Paraná,129209
Toledo,Paraná,128448
Apucarana,Paraná,128058
Ji-Paraná,Rondônia,128026
Cametá,Pará Pará,127401
Crato,Ceará,126591
Araras,São Paulo,126391
Cubatão,São Paulo,125178
Santa Cruz do Sul,Rio Grande do Sul,124577
Pinhais,Paraná,124528
Cachoeirinha,Rio Grande do Sul,124472
Sinop,Mato Grosso,123634
Resende,Rio de Janeiro,123385
Conselheiro Lafaiete,Minas Gerais,123275
Itapipoca,Ceará,122220
Rio das Ostras,Rio de Janeiro,122196
Bagé,Rio Grande do Sul,121235
Santana de Parnaíba,São Paulo,120998
Balneário Camboriú,Santa Catarina,120926
Campo Largo,Paraná,120730
São Mateus,Espírito Santo,120725
Colatina,Espírito Santo,120677
Maranguape,Ceará,120405
Codó,Maranhão,119641
Araruama,Rio de Janeiro,118964
Ribeirão Pires,São Paulo,118871
Bragança,Pará Pará,118678
Catanduva,São Paulo,118209
Barretos,São Paulo,117779
Guaratinguetá,São Paulo,117663
Marituba,Pará Pará,117614
Sertãozinho,São Paulo,117539
Paulo Afonso,Bahia Bahia,117377
Brusque,Santa Catarina,116634
Valinhos,São Paulo,116308
Guarapari,Espírito Santo,116278
Jandira,São Paulo,116041
Birigui,São Paulo,115898
Itabira,Minas Gerais,115817
Votorantim,São Paulo,115585
Itaguaí,Rio de Janeiro,115542
Araguari,Minas Gerais,114970
Vespasiano,Minas Gerais,114365
Tatuí,São Paulo,114314
